class,E_file,CreationYear,SizeOfInitializedData,DllCharacteristics,MajorImageVersion,CheckSum
0,6.271333068,2010,25600,320,0,107472
0,6.510729903,2003,61440,0,0,226319
0,5.655042817,2012,4608,320,0,10434
0,6.29647853,2001,53248,0,7,0
1,6.638127552,1992,23552,0,0,0
0,5.623471365,2010,7168,1024,0,43698
0,5.821317425,2012,2048,34112,0,98374
0,6.293481086,2011,9728,320,6,134231
0,5.842054487,2010,204800,1344,9,416637
1,7.546568328,2011,328704,0,0,0
0,6.362777643,2004,94208,0,0,0
1,7.633768658,2010,84480,1088,0,114431
1,7.12544879,2011,104448,32768,0,0
1,5.69305115,2012,32768,0,7,260127
1,7.033096215,2010,65024,33792,0,92869
1,6.282741886,1992,65536,0,0,0
0,6.278673983,2012,156160,320,0,663585
0,5.357229822,2003,20480,0,4,120724
0,5.892621057,2012,44544,33088,6,175470
0,4.145842168,2012,4608,320,6,51637
1,7.928245934,2012,16384,0,450,74819
0,5.369209096,2008,13824,1024,0,58917
1,7.81621116,2011,4096,32768,4,37
1,4.966939865,2009,150528,0,0,0
0,6.173438009,2010,32768,0,0,135554
1,7.658190141,2010,85504,1088,0,114457
0,6.82441437,2006,24576,64,0,310500
1,5.320169504,2006,77824,0,0,149987
0,6.021354286,2012,36864,64,0,112562
1,7.472884467,2010,166400,0,0,0
1,7.302906852,2011,1953792,0,0,0
0,7.998826795,2005,72704,33792,5,4470609
1,7.572592807,2010,4096,0,0,0
1,6.599773255,2011,64000,32768,0,0
1,5.817370339,2014,36864,0,0,0
0,6.345959892,2012,39424,320,0,110116
1,7.915066748,2012,32768,0,1,63454
1,7.528512292,2012,34816,0,0,203787
1,6.28473078,2011,7168,32768,0,82656
1,7.413445497,2012,16896,0,0,347252
1,7.85288938,1970,305664,0,0,0
0,6.648873833,2012,61440,0,0,276300
0,6.425430429,2006,4608,64,0,48466
1,7.084328041,2002,24576,0,0,132539
1,6.596866878,2012,8192,0,0,0
1,4.983990849,2012,446464,0,0,0
1,7.550428294,1992,4096,0,0,0
1,6.471673985,1992,21504,0,0,0
1,5.857330768,2013,21504,0,0,53762
0,5.973492592,2012,24064,33088,8,229246
1,5.649381605,2011,6144,32768,0,0
1,6.947195022,1992,13824,0,0,0
0,3.786014661,2012,45056,320,6,111297
0,6.205998871,2012,9728,33088,6,59864
0,6.655144399,2012,600576,33216,6,1754592
0,6.702417526,2012,28160,33088,6,299537
0,6.135273879,2006,28672,0,0,104376
0,5.838447987,2012,24576,0,0,124838
1,6.62139055,2012,186880,0,0,820433
1,7.100532925,2011,151552,0,0,0
1,7.894138826,2011,16384,0,0,0
0,6.272722221,2010,28672,0,0,0
1,7.547873374,2012,17408,0,0,328950
1,7.485502972,2009,749056,64,0,0
1,7.928438304,2007,4096,0,5,0
0,6.564992055,2009,16384,0,0,63693
1,6.588451945,2011,60416,0,1,101170
0,6.705205808,2011,103936,33088,0,426645
0,7.041426937,2009,178688,33088,6,380174
0,6.271785679,2012,12288,33088,6,120361
0,7.247901777,2011,749568,0,0,1642693
0,6.499152424,2008,119808,0,0,0
0,6.21627283,2012,190976,256,0,467734
0,6.682638366,2011,145408,33088,6,532932
1,6.503666172,2013,704512,0,0,0
0,5.768819227,2012,284160,33088,6,417103
1,7.984550947,2012,64512,33024,0,0
1,7.806040423,2010,145920,0,0,96470
0,6.420758206,2007,151552,320,9,1090021
0,6.325806259,2007,91648,320,9,648688
0,6.787847543,2012,66560,33088,6,128557
0,6.381835729,2012,55808,33088,6,615090
1,7.924388879,1992,16896,0,0,112762
0,7.973365889,2006,90112,0,0,6005935
1,4.544325838,2011,30208,32768,0,121052
0,6.217332627,2012,57344,33024,0,175063
1,5.064006515,2012,6656,0,0,282552
1,5.83630969,2011,7168,32768,0,87285
0,6.004107799,2002,57344,0,0,0
0,5.590458061,2012,2560,34112,0,118185
0,7.358376342,2012,105472,33088,6,136424
0,7.998846285,2005,72704,33792,5,3755878
0,6.73908431,2009,192512,0,4,970998
1,7.635505722,2010,84480,1088,0,96596
1,7.62376864,2010,88576,1088,0,123999
0,5.943984469,2012,119808,256,0,276351
1,7.357618222,2010,8192,0,3,0
1,7.109759862,2011,114688,0,1,180509
0,6.571574311,2012,436736,32832,6,1659891
0,5.893919234,2001,102400,0,0,0
1,4.712144814,2011,11264,32768,0,90791
1,7.595926062,2005,8192,0,6,0
0,7.891458233,2004,32768,0,1,0
1,5.87982457,2007,32768,0,0,104288
0,1.579561128,2012,12517376,320,0,12576743
0,6.145419833,2006,28672,64,0,240861
0,6.217354595,2009,57344,1344,6,70114
1,7.414209961,2012,430080,0,0,500883
1,7.599957607,2010,89088,1088,0,149817
1,6.701393425,2005,282112,33792,0,300254
0,5.307213761,2009,107008,0,0,225467
1,5.965249397,2012,64000,34112,0,0
0,4.829967355,2005,43008,1024,8,59252
1,5.498004743,2012,12288,0,1,105866
1,7.756854698,2011,8192,0,5,0
1,6.241718148,2011,24576,0,12,0
1,7.688349579,2011,8704,0,0,402913
1,7.900478382,2004,0,0,0,0
1,7.978607715,2012,370688,33024,0,0
1,7.657554518,2012,200704,0,0,0
1,6.785504038,2012,99328,32768,0,168524
1,7.587038992,2012,14848,0,0,314699
0,6.169545536,2003,2031616,0,0,0
0,6.747994,2011,2566144,0,4,8221573
0,4.786284718,1998,28672,0,0,72357
0,4.587845525,2009,8192,0,1,53289
0,5.132846373,2012,6144,33088,6,13688
0,6.419115103,2009,10752,320,6,139803
1,7.359267429,2011,442368,32768,1,513840
0,4.769839056,2009,5120,33088,6,72035
0,6.880495242,2012,81920,33088,6,164139
1,7.639572556,2010,84992,1088,0,139292
1,7.401481018,2011,380028,0,0,471975
1,5.872016867,2002,57344,0,0,167712
0,6.600303447,2011,950272,0,4,2309486
0,6.536687289,2012,147456,320,0,444543
1,4.672910617,2011,105984,33792,0,134548
1,7.817000994,2011,4096,0,5,0
1,6.827496968,2003,45056,0,1694,0
1,7.530128046,2012,10240,33792,0,121844
0,5.711958223,2011,102912,0,0,162487
0,4.084711265,2006,592384,1024,5,606161
0,3.983254456,2006,151552,1024,0,198957
0,5.184254893,2010,4796416,33088,0,8934170
1,7.936240873,2010,512000,0,0,0
1,5.319517284,2011,17408,32768,0,72327
1,6.403211982,2009,65024,0,0,0
1,7.158627176,2005,144384,0,5,426467
0,7.994220687,2012,445952,34112,6,7318144
1,6.984631611,2011,139264,0,0,274220
1,7.459218009,2005,4096,0,5,0
0,7.999913491,2013,158720,33792,6,36878752
1,7.587105274,2005,98816,0,0,0
1,7.737416944,2010,185344,0,0,102656
0,5.586142304,2002,8192,1024,0,114308
1,7.580744641,2005,96256,0,0,0
1,7.115294105,2005,69120,0,0,0
0,5.797290056,2010,16384,0,0,0
1,7.717184946,2005,68608,0,0,0
0,4.460886255,2011,12288,0,1,61732
1,6.244013959,2011,24576,0,0,0
1,5.82951829,2011,6656,32768,0,105468
0,5.748178601,2012,1559040,33088,6,2016462
1,5.048817249,2011,27648,32768,0,112561
0,5.557161556,2010,7680,1024,0,23611
1,7.030377526,2010,65536,33792,0,77076
1,7.135343626,2011,5120,0,1,149898
1,5.469027605,2011,8704,0,0,0
0,5.774633048,2009,45056,0,0,102455
0,5.580222162,2012,38912,33088,6,190283
0,5.641810202,2012,16384,33088,6,93345
1,7.788110355,2011,4096,32768,4,71
1,7.693676268,2011,106496,0,0,0
1,6.989913214,2005,27136,0,0,0
1,6.068631516,2011,36864,0,0,0
1,6.983129038,2011,8192,0,2,230443
1,7.6605106,2010,85504,1088,0,130971
0,6.367089619,2006,283648,64,0,1729740
1,7.697854567,2001,184832,32768,35815,257299
1,7.655425255,2007,1353216,0,0,0
1,6.834331102,2012,9216,32768,0,94889
1,6.511810969,2010,12800,0,1,80004
0,6.322120001,2012,20992,33088,6,82789
1,6.489900799,2009,100864,1088,0,0
1,7.620807766,2010,40960,0,4,66901
1,7.923350045,1992,4096,0,0,0
0,7.987170358,1996,3879424,0,4,3993577
0,5.380883897,2012,905216,320,0,979376
1,6.444214474,1992,77824,0,0,0
1,6.914021214,2011,9728,0,0,57329
0,5.132205774,2008,15360,1344,0,84352
0,4.877470097,2012,5632,33088,6,67063
1,6.277634294,2011,47616,33792,0,67455
1,7.77104008,2009,2916352,0,0,494865
1,6.0274819,2009,16384,0,0,0
0,7.493215808,2009,503808,0,0,825143
1,7.007592576,2011,135168,0,0,251025
0,6.382422118,2006,24576,64,0,143047
1,7.885519516,2007,4096,32768,5,0
0,6.283199854,2012,326656,320,0,1255281
0,6.908709668,2012,2560,34112,0,177601
0,5.502368601,2010,7680,1024,0,28943
0,7.143178279,2012,78848,33088,6,140978
1,7.718383456,2007,1230336,0,0,0
1,7.650022405,2010,84480,1088,0,153721
0,6.743669233,2009,498688,320,6,1516848
1,7.401813665,2010,4096,0,0,0
0,6.73022335,2009,109056,320,6,973727
1,7.57828482,2011,28672,0,0,0
1,7.713924171,2010,6144,0,0,220266
0,7.145351727,2012,78848,33088,6,92734
0,5.140239447,2012,6144,33088,6,65944
0,6.399502885,2012,99328,33088,6,116679
1,7.635518753,2010,84480,1088,0,100604
0,3.351796942,2009,1024,1344,6,18089
1,7.906605068,2011,4096,0,5,0
0,6.706840518,2006,33792,64,0,453729
0,6.465814284,2006,5120,64,0,47082
0,3.353099026,2009,1024,1344,6,18088
0,1.828829403,2009,12288,320,6,79962
0,3.59387224,2009,4608,1344,6,59161
1,7.654820009,2010,84480,1088,0,116987
1,6.576968811,2011,165888,0,0,763763
0,5.619203473,2012,16384,1344,0,104074
0,6.708640988,2012,30720,320,0,139750
1,7.673720463,1997,12288,0,0,0
1,7.699465184,2012,196608,1024,0,0
0,4.987894303,2012,12800,33088,6,26274
0,6.624720396,2012,91136,320,0,340876
0,6.152263779,2010,36864,0,0,171626
1,7.163373235,2011,462848,32768,1,483323
0,5.463137992,2012,9728,1024,0,34471
1,6.635899383,2011,11776,33024,1,0
0,6.487899756,2012,233472,0,4,977144
1,6.454706161,2011,48128,33792,0,62365
0,7.090348722,2012,106496,33216,6,160371
0,5.864199726,2012,245760,0,0,812222
1,7.661146095,2010,85504,1088,0,140166
1,7.003627388,2005,25600,0,0,0
1,6.273138379,2010,0,0,0,0
1,6.540471628,2009,61440,0,0,0
0,4.924337315,2012,47104,1280,0,110879
0,6.45982403,2010,188416,0,0,758823
1,7.604035963,2010,89088,1088,0,160136
1,7.691560908,1992,54272,0,0,0
0,6.539503531,2012,47104,33088,6,169406
0,5.40697309,2012,2048,1344,0,76576
1,6.317201822,1970,0,0,0,0
1,7.295320793,2012,16896,0,0,403223
0,6.418393508,2006,16896,64,0,89775
1,7.493661044,2012,421888,0,0,463859
0,7.98110467,2010,79360,34048,0,114798
0,6.213292698,2012,1536,34112,0,83517
0,6.436438844,2006,2654208,0,5,4306931
0,6.282474634,2012,326656,320,0,1271278
1,7.863667528,2011,32768,0,0,0
1,6.248692792,2011,8704,0,0,0
1,7.745403159,2011,6656,0,0,184279
1,5.799318459,2011,28672,0,0,126696
0,5.570027218,2005,184320,0,0,0
1,7.63828587,2010,84992,1088,0,98371
1,7.14954185,2011,196608,0,0,276646
1,6.155276308,2008,8192,33792,0,66362
0,6.288761874,2012,171520,33088,0,478635
0,6.269766598,2006,49152,64,0,424869
0,6.378147896,2007,240128,320,9,1369365
0,6.653954452,2006,11264,64,0,167090
0,5.39803456,2012,7680,33088,6,77923
1,7.758776513,2011,391168,32768,1,417013
0,6.104955122,2012,18432,320,0,93975
1,7.848667917,2009,2083328,0,0,0
1,4.15829202,2011,33792,32768,0,125203
0,6.628181711,2009,183808,320,6,740590
0,6.694869471,2012,168448,33088,6,516553
1,6.419253877,1970,0,0,0,0
1,7.640361612,2010,84992,1088,0,158920
1,7.623062768,2010,88576,1088,0,107624
1,4.775239054,2011,26112,32768,0,129372
0,6.355301262,2005,450560,0,5,1433211
1,7.21774678,2009,53248,0,0,0
0,6.785999489,2006,4608,64,0,57608
0,6.292021003,2012,32768,0,0,195845
1,7.613252829,2000,115200,32768,15938,306549
1,7.620281531,2010,85504,1088,0,147087
0,5.893935147,2010,4634112,33088,0,8183727
0,6.354032197,2006,39424,64,0,176244
1,5.764142159,2012,10752,0,0,216743
0,5.283830849,2012,165376,33088,6,351574
1,7.091638994,2011,1957888,0,0,348507
0,5.807130147,2012,557568,33088,6,1463308
0,6.4047066,2012,56320,33216,6,124667
1,7.417739568,2012,90112,0,0,146139
0,6.060812979,2012,10752,33088,6,79542
1,7.546809178,2005,119808,0,0,292777
1,6.805242605,2006,1245184,0,0,257871
1,7.619909953,2010,88576,1088,0,99816
0,3.002601058,2012,75264,33088,6,124539
0,5.984907968,2010,1536,34112,0,16985
1,4.87690055,2010,167936,0,0,0
0,6.693380109,2012,1286144,0,0,1371863
0,6.386065632,2011,16384,320,0,46519
0,6.022221122,2010,8192,320,6,79630
0,5.99502766,2002,57344,0,0,0
0,6.377612307,2009,296960,320,6,427598
1,7.554359488,2013,512,3,0,0
1,6.644791975,1970,506368,0,0,0
1,7.635558954,2010,84480,1088,0,119216
1,7.878427278,2010,5120,0,0,0
1,7.728168826,1989,8192,0,0,0
0,6.270897152,2009,260608,33088,1,790545
1,6.56070517,1970,473088,0,0,161492
1,7.628787344,2010,88576,1088,0,156425
0,6.226361065,2012,8704,33088,6,42136
0,6.172263028,2012,53248,33088,6,92740
1,7.937657045,2011,804864,0,1,96613
1,6.782571082,2011,2560,32768,0,71962
1,5.727615023,2010,3584,0,0,35872
1,5.481215059,2011,12288,0,1,224422
1,7.652615627,1992,4096,0,0,0
1,7.604856365,2009,2116608,64,0,526883
0,5.786802103,2012,151552,320,0,302022
0,7.99647462,2010,12800,0,0,3208873
1,7.619609017,2010,88576,1088,0,156638
0,4.881735602,2011,24576,0,5,0
0,6.59070394,2006,100352,64,0,496383
1,7.660665173,2012,17408,0,0,323543
1,7.600152003,2010,88576,1088,0,108757
0,6.324249072,2006,26112,64,0,136407
0,7.194344324,2012,93696,33088,6,119190
0,6.689128329,2012,456192,320,0,1201005
1,7.195917825,2011,51200,0,0,164692
0,4.954553242,2012,20992,33088,6,70149
0,6.249791792,2012,9216,33088,6,86602
0,5.631330557,2012,10240,1024,0,56043
1,7.692702715,2011,69632,0,0,0
0,5.558630356,1999,29696,0,0,0
0,6.738243394,2006,207872,64,0,996168
0,6.521444501,2012,99840,33088,6,439685
0,5.88094527,2012,32768,0,0,104024
1,6.13440057,2011,45056,0,0,88198
1,7.282642395,2011,1855488,0,0,0
0,6.428512612,2012,117248,33088,6,1005815
1,6.999013041,2012,52224,32768,0,95192
1,6.637830807,2011,3072,32768,0,104647
0,6.000813728,2012,12288,33088,6,99259
0,7.999863708,2009,3584,32768,5,86336984
0,3.753521986,2010,3230208,33088,0,4036269
1,7.882166353,2008,7680,0,0,0
1,6.831244464,2011,2560,32768,0,47411
1,7.401637261,2010,152064,0,0,0
0,5.492717067,2012,6656,33088,6,72950
0,7.999032551,2008,268288,0,0,6431402
1,4.629544795,2009,51200,0,0,0
1,7.119140727,2011,110592,0,0,161823
1,6.978852628,2010,114688,0,1,204704
1,7.579972277,2015,89600,0,0,0
0,5.802808701,2010,2048,34112,0,29386
0,6.431091498,2010,69632,0,0,290421
1,5.904276423,2007,125440,32768,1,188115
1,6.097672796,2007,136704,32768,2,198966
0,6.289701881,2009,32768,0,0,143523
0,6.574652174,2010,45056,0,0,0
1,7.991356826,2011,18432,0,0,0
1,5.681884757,2012,11776,256,0,0
1,7.926176351,2004,4096,0,6,0
0,5.387712537,2007,559616,0,0,613782
1,6.609887064,2009,120320,0,0,0
1,6.715719469,2011,20480,0,1,102552
0,6.674464083,2009,33792,320,6,856639
1,6.900922455,2011,59392,34112,0,180958
0,5.916103049,2012,8192,33088,6,95817
1,7.56125938,2008,422400,32768,5,0
0,5.579800684,2012,9216,33088,6,43879
0,6.054784941,2009,27136,320,6,358652
0,5.759924902,2012,10240,33088,6,58263
1,6.000041794,2010,93696,33792,0,103170
0,6.662187384,2010,50688,0,0,169105
0,6.488010585,2012,2560,33024,8,133177
1,6.755719201,2011,90112,0,0,0
0,4.744313429,2006,24576,0,0,88412
0,0.948042994,2009,4096,1344,6,51198
0,6.446249704,2012,208896,0,0,691947
1,6.401679015,2011,81408,33792,0,100863
0,7.994281051,2006,4096,32768,5,1553849
0,5.834639623,2010,8192,1344,0,594513
0,6.527863628,2012,7680,33216,6,42711
1,7.657544917,2010,84480,1088,0,123677
0,6.559461785,2003,204800,0,7,0
1,6.541644254,2009,53248,0,0,0
1,7.635324091,2010,85504,1088,0,124250
0,6.366616667,2006,3584,64,0,73991
0,6.725205982,2010,623104,320,2,5418215
0,5.574831706,2011,146432,0,4,316983
0,5.922629107,2012,315392,0,0,400575
0,5.674803533,2012,10240,1024,0,84490
0,5.920322061,2012,419840,33088,6,462229
1,7.643760942,2011,446976,32768,1,0
0,7.915414421,2001,691712,32768,5,745499
1,7.276967666,2010,207360,34112,0,0
0,5.590941504,2012,6656,33088,6,43269
0,4.645381007,2009,8192,34112,0,78069
1,7.816129544,1992,246784,0,0,79573
1,7.419783771,2012,10240,33792,0,107189
0,6.605759793,2012,8192,34112,0,0
0,5.884815412,2012,12800,33088,6,37595
1,5.702832002,2011,8192,0,1,230453
1,7.383801087,2011,289792,0,0,0
0,3.896012133,2006,83968,1024,5,117950
1,7.069384382,2012,12800,0,0,55187
0,5.973285154,2054,49152,0,0,0
1,7.155057915,2011,55808,0,1,197112
0,5.955244173,2007,20480,0,0,109665
1,7.860817219,2012,402353,0,0,0
1,7.927873898,2010,9216,0,0,379192
0,6.444810357,2010,160768,320,6,1646416
0,5.799477748,2010,8192,1344,0,746588
0,5.896692981,2012,87040,33088,6,190289
0,6.998647083,2009,72192,320,6,165331
0,5.491214279,2012,6144,33088,6,78493
0,5.937850595,2012,22528,33088,6,71353
0,7.016443878,2006,102912,32832,0,250376
0,4.469467773,2006,561152,64,0,647058
1,7.707392873,2006,8192,0,9,0
0,4.41690695,2012,5037056,0,0,5213331
1,6.533787691,2012,126976,0,0,0
0,6.570074643,2012,30720,33216,6,192044
1,7.534885587,2005,109056,0,0,0
0,6.441623054,2012,49152,0,0,256549
1,7.131701565,2001,1851392,0,0,398823
1,6.430606067,2009,112640,33792,0,0
0,5.511635176,2012,7168,33088,6,71033
1,6.982760215,2011,12288,0,92,126564
0,7.999996831,2007,122368,0,0,111159487
0,5.908642346,2012,69632,0,0,239267
0,3.481932111,2005,16384,0,8,273857
0,5.578001743,2010,20480,0,0,101578
0,6.156996986,2005,36864,0,0,112851
0,5.78654497,2012,36352,33088,6,76639
0,6.391827676,2006,3584,64,0,71296
1,6.796635407,2012,2560,32768,0,61465
0,6.694774675,2009,120320,320,6,1034068
0,6.356540787,2012,86016,33088,6,152369
1,7.905354233,2004,40960,0,0,0
1,7.412058893,2012,205824,33024,0,0
0,6.625489091,2012,5632,1024,0,33921
1,7.40147422,1970,380028,0,0,471976
1,7.255206792,2005,69120,0,0,0
0,6.309565565,2006,61440,0,0,238560
1,7.491951923,2011,203776,33024,0,0
0,5.735171451,2012,13312,33088,6,78349
0,6.610515662,2011,90112,0,0,474254
1,7.207115013,2005,40960,0,0,0
0,6.823868497,2012,115200,33088,6,365880
1,7.829421164,1992,4096,0,0,0
1,7.072269075,2003,45056,0,20184,0
1,7.666358715,2010,84480,1088,0,153691
1,7.506580853,2005,74752,0,0,0
0,5.829954248,2010,40960,0,0,0
0,7.994353108,2005,4096,33792,5,1550945
0,6.714238394,2012,487936,33088,6,1345903
1,7.662572945,2010,88576,1088,0,107123
0,6.706175274,2012,189440,34112,0,1699635
0,6.142712366,2009,180224,0,0,0
1,7.927040294,1992,4096,0,0,0
0,6.029569723,2012,505856,33088,6,571584
0,6.222009697,2012,62464,256,0,165504
0,6.24157111,2012,222208,33088,8,1179424
1,5.973615216,2011,5120,32768,0,75489
0,6.076877181,2012,9216,33088,8,96844
0,6.368516038,2010,57344,0,0,236737
1,7.623610527,2010,89600,1088,0,125090
0,5.001359894,2012,7680,33088,6,66839
1,7.845816296,1992,251392,0,0,65654
0,6.517101199,1999,187392,0,0,587805
1,7.647179008,2005,29184,0,0,0
0,5.876490808,2012,8192,33088,6,44059
1,7.651273318,2010,84992,1088,0,151805
1,7.854001473,2012,234496,32768,0,290260
0,6.226295414,2009,16896,33088,10,118142
0,5.932425026,2012,20480,0,0,106559
1,7.517935065,2011,19968,32768,0,113178
1,6.962993386,1992,7680,0,0,0
0,6.456331485,2010,91136,320,6,2139471
1,7.992925711,2009,0,0,0,2851625
0,6.763259392,2011,204800,0,4,1071263
0,6.148704305,2012,11776,320,0,59482
0,2.411455673,2009,12288,1344,6,73327
1,5.884792283,2011,7168,32768,0,109742
1,6.394715138,2002,45056,0,0,88988
1,5.885355407,2011,7168,32768,0,65273
0,6.596898787,2012,100352,34112,0,1887802
1,7.164928141,2009,56832,0,0,0
1,7.722994327,2011,389632,32768,1,399553
1,7.663747313,2010,85504,1088,0,117082
1,7.332519725,2012,16384,0,2,205739
0,6.086126941,2012,11264,33088,6,72244
0,6.129827596,2054,49152,0,0,0
1,7.706833802,2005,65536,0,0,0
0,6.04410984,2012,2048,34112,0,77997
1,7.637834713,2010,84992,1088,0,116979
0,5.695931627,2005,28672,0,0,99470
1,7.498233011,2010,61952,0,1,86793
1,7.773508414,2012,245140,0,0,390876
0,6.324102646,2009,25600,320,0,62103
0,6.36609982,2006,11776,64,0,100458
1,5.975506199,1992,13824,0,0,45445
0,7.995610831,2009,685056,32768,0,38840411
1,7.728898009,2011,65535,0,0,183793
0,7.339438685,2012,88064,34144,0,151580
0,5.777440669,2006,20480,0,0,77528
1,7.899137071,2011,12288,0,7,0
0,5.576421121,2012,9728,33216,6,69430
0,6.358341274,2006,49152,0,0,318993
1,7.659082668,2010,84480,1088,0,119000
0,5.333456222,2010,8192,1344,0,142988
1,7.028354285,1992,54784,0,0,0
0,7.995898596,1992,17408,32768,6,0
1,7.523055171,2011,93696,32768,0,98355
1,7.856626559,2004,0,0,0,0
0,3.351796942,2009,1024,1344,6,18086
1,6.874746275,2005,138752,0,5,0
0,5.966183266,2012,2048,34112,0,34344
0,6.174369374,2054,49152,0,0,0
0,4.884694393,2009,84480,1344,6,135174
0,6.621259093,2012,225280,0,0,1052262
